Time,Airspeed,ALT,Alpha,Beta,Theta,Phi
32.02054,9.284286,1.782516,4.090084,3.922472,11.05761,1.434378
32.12054,9.142738,1.903478,3.043601,3.856332,11.04851,1.441066
32.22055,8.991357,2.030525,2.472006,3.804803,10.70446,1.445855
32.32055,8.840773,2.154159,2.295476,3.763247,10.27498,1.449059
32.42055,8.696928,2.26941,2.360882,3.728727,9.82953,1.45073
32.52055,8.562937,2.373967,2.550862,3.699265,9.375627,1.450766
32.62056,8.440401,2.466875,2.79397,3.673465,8.905203,1.449028
32.72056,8.330199,2.54782,3.051176,3.650195,8.409965,1.445367
32.82056,8.232849,2.616776,3.302159,3.628441,7.884952,1.439657
32.92056,8.148678,2.673841,3.536228,3.607188,7.328374,1.431805
33.02057,8.077896,2.719176,3.747268,3.585451,6.740672,1.421741
33.12057,8.02061,2.752981,3.931267,3.562337,6.123692,1.409428
33.22057,7.97683,2.775482,4.085274,3.536993,5.48015,1.394857
33.32057,7.946476,2.78693,4.207032,3.508635,4.813301,1.378038
33.42057,7.929375,2.787592,4.29491,3.476631,4.126752,1.359006
33.52058,7.925268,2.777755,4.347956,3.440399,3.424364,1.337815
33.62058,7.933821,2.757713,4.365922,3.399496,2.710164,1.314533
33.72058,7.954627,2.727771,4.349295,3.35364,1.988291,1.289246
33.82058,7.987223,2.688236,4.299259,3.302594,1.262936,1.262053
33.92059,8.031101,2.639414,4.217627,3.246287,0.5382793,1.233065
34.02059,8.085708,2.581613,4.106752,3.184751,-0.1815608,1.202402
34.12059,8.15047,2.515137,3.969411,3.118083,-0.8925868,1.170197
34.22059,8.224788,2.440289,3.808674,3.04648,-1.590975,1.136589
34.32059,8.30806,2.357367,3.627781,2.970213,-2.273124,1.101728
34.4206,8.399659,2.266668,3.430036,2.889619,-2.935687,1.065769
34.5206,8.498973,2.16849,3.218687,2.805043,-3.575615,1.028875
34.6206,8.605386,2.063132,2.996864,2.716923,-4.190162,0.9912115
34.7206,8.718297,1.950896,2.767483,2.625652,-4.776919,0.9529526
34.82061,8.838618,1.830439,3.403555,2.531153,-4.591697,0.9137827
34.92061,8.959738,1.708235,4.395472,2.435529,-3.218045,0.8763906
35.02061,9.06676,1.598284,5.071106,2.343422,-1.371492,0.8441359
35.12061,9.148997,1.510951,5.413845,2.258083,0.6382282,0.8181532
35.22062,9.20027,1.452521,5.547057,2.181317,2.69645,0.7986091
35.32062,9.21759,1.426148,5.586803,2.114048,4.76795,0.7853739
35.42062,9.199873,1.432883,5.608132,2.056878,6.842453,0.7782501
